Random,ACHP,PHR,AWWGV,ALAP,ANPL,ARD,ADWR,PDMVG,ARL,AWWR,ADWV,PDMRG,Class
R1,34.53346785732356,54.56698291488631,1.1474490163213231,1284.2295490809165,4.999713080337564,16.274917909603804,1.7068098312939444,18.3999815454843,19.739037367484507,2.949240289382,0.2092509241801413,57.63390559200267,SA
R1,34.489028306353774,54.567692119609205,1.14952979764288,1284.2477438838728,5.0242591545154855,16.26945189117167,1.7009296662879505,18.39828850474991,19.758835718631143,2.943137388074499,0.2161538792486169,57.633697112726246,SA
R2,33.100404726849035,67.06734370835316,1.1046472057956482,1009.2089958405224,5.007651977964805,15.980759942209026,1.1853914852825431,19.398788776500265,20.840821891276757,2.86163502538269,0.2001128892908453,41.28987494855647,SA
R1,34.49831858647996,54.55904852397672,1.1377588704861894,1284.22762260433,4.99150128248354,16.27670962189551,1.7163960081851597,18.413613470893587,19.736097926038056,2.9467841087947204,0.2230916421472618,57.645661365711085,SA
R3,36.29700833886112,45.58889400621048,1.3632054730045386,981.4703101636017,4.003681875641396,16.979893625579873,0.7774284115100135,31.423771909614224,17.331893882805236,2.766242102990909,0.4241717299509762,27.89861851016933,SA
R3,36.2877217297622,45.59858468852574,1.3537900729454275,981.4609933812784,3.998620866921919,16.991602771317485,0.7608417051845827,31.40363916345493,17.324860637131312,2.745382247935558,0.4351483749614036,27.92701717783088,SA
R1,34.498869449032355,54.5562467746708,1.165056074170428,1284.2376448322054,4.992955067436744,16.26728226104572,1.6928351628617129,18.414687525673827,19.715916084423355,2.9475320592015826,0.2185297336457619,57.62721913774241,SA
R2,33.105557891707114,67.07340616778447,1.0974440998129422,1009.2396383903576,4.991835242966011,15.965587857379282,1.1895755718433818,19.407306652950947,20.838177400554272,2.8475261102862333,0.2168552691017111,41.30476216030654,SA
R2,33.09244759312409,67.06165905780294,1.1030984239879578,1009.218886681604,4.995130894068538,15.964760983793669,1.1828382115269256,19.38757287100865,20.82433483824105,2.857965394363842,0.2098689081646606,41.31804855571525,SA
R1,34.48369493450468,54.57112727882815,1.1788994474408845,1284.224033638675,4.982078081838961,16.27388393495425,1.7020403428330009,18.414643259447956,19.745347134689126,2.968609117255344,0.2018242113714436,57.63875623751949,SA
